"id","gebouw","muurschildering","link"
"2","RM18423","RM18423MU1","http://www.wikidata.org/entity/Q122982902"
"3","RM18423","RM18423MU10","http://www.wikidata.org/entity/Q122982902"
"4","RM18423","RM18423MU11","http://www.wikidata.org/entity/Q122982902"
"5","RM18423","RM18423MU12","http://www.wikidata.org/entity/Q122982902"
"6","RM18423","RM18423MU13","http://www.wikidata.org/entity/Q122982902"
"7","RM18423","RM18423MU14","http://www.wikidata.org/entity/Q122982902"
"8","RM18423","RM18423MU15","http://www.wikidata.org/entity/Q122982902"
"9","RM18423","RM18423MU16","http://www.wikidata.org/entity/Q122982902"
"10","RM18423","RM18423MU17","http://www.wikidata.org/entity/Q122982902"
"11","RM18423","RM18423MU18","http://www.wikidata.org/entity/Q122982902"
"12","RM18423","RM18423MU19","http://www.wikidata.org/entity/Q122982902"
"13","RM18423","RM18423MU2","http://www.wikidata.org/entity/Q122982902"
"14","RM18423","RM18423MU20","http://www.wikidata.org/entity/Q122982902"
"15","RM18423","RM18423MU21","http://www.wikidata.org/entity/Q122982902"
"16","RM18423","RM18423MU22","http://www.wikidata.org/entity/Q122982902"
"17","RM18423","RM18423MU23","http://www.wikidata.org/entity/Q122982902"
"18","RM18423","RM18423MU3","http://www.wikidata.org/entity/Q122982902"
"19","RM18423","RM18423MU4","http://www.wikidata.org/entity/Q122982902"
"20","RM18423","RM18423MU5","http://www.wikidata.org/entity/Q122982902"
"21","RM18423","RM18423MU6","http://www.wikidata.org/entity/Q122982902"
"22","RM18423","RM18423MU7","http://www.wikidata.org/entity/Q122982902"
"23","RM18423","RM18423MU8","http://www.wikidata.org/entity/Q122982902"
"24","RM18423","RM18423MU9","http://www.wikidata.org/entity/Q122982902"
"25","RM18555","RM18555MU1","http://www.wikidata.org/entity/Q122982902"
"26","RM18555","RM18555MU10","http://www.wikidata.org/entity/Q122982902"
"27","RM18555","RM18555MU11","http://www.wikidata.org/entity/Q122982902"
"28","RM18555","RM18555MU12","http://www.wikidata.org/entity/Q122982902"
"29","RM18555","RM18555MU13","http://www.wikidata.org/entity/Q122982902"
"30","RM18555","RM18555MU14","http://www.wikidata.org/entity/Q122982902"
"31","RM18555","RM18555MU15","http://www.wikidata.org/entity/Q122982902"
"32","RM18555","RM18555MU16","http://www.wikidata.org/entity/Q122982902"
"33","RM18555","RM18555MU17","http://www.wikidata.org/entity/Q122982902"
"34","RM18555","RM18555MU18","http://www.wikidata.org/entity/Q122982902"
"35","RM18555","RM18555MU19","http://www.wikidata.org/entity/Q122982902"
"36","RM18555","RM18555MU2","http://www.wikidata.org/entity/Q122982902"
"37","RM18555","RM18555MU20","http://www.wikidata.org/entity/Q122982902"
"38","RM18555","RM18555MU21","http://www.wikidata.org/entity/Q122982902"
"39","RM18555","RM18555MU22","http://www.wikidata.org/entity/Q122982902"
"40","RM18555","RM18555MU3","http://www.wikidata.org/entity/Q122982902"
"41","RM18555","RM18555MU4","http://www.wikidata.org/entity/Q122982902"
"42","RM18555","RM18555MU5","http://www.wikidata.org/entity/Q122982902"
"43","RM18555","RM18555MU6","http://www.wikidata.org/entity/Q122982902"
"44","RM18555","RM18555MU7","http://www.wikidata.org/entity/Q122982902"
"45","RM18555","RM18555MU8","http://www.wikidata.org/entity/Q122982902"
"46","RM18555","RM18555MU9","http://www.wikidata.org/entity/Q122982902"
"47","RM21303","RM21303MU1","http://www.wikidata.org/entity/Q122982902"
"48","RM21303","RM21303MU2","http://www.wikidata.org/entity/Q122982902"
"49","RM21303","RM21303MU3","http://www.wikidata.org/entity/Q122982902"
"50","RM26265","RM26265MU1","http://www.wikidata.org/entity/Q122982902"
"51","RM26265","RM26265MU2","http://www.wikidata.org/entity/Q122982902"
"52","RM26265","RM26265MU3","http://www.wikidata.org/entity/Q122982902"
"53","RM26265","RM26265MU4","http://www.wikidata.org/entity/Q122982902"
"54","RM26265","RM26265MU5","http://www.wikidata.org/entity/Q122982902"
